[2.211184405332507, 0]
[2.3203953183820523, 1]
[2.139652304602258, 2]
[3.049180175012916, 3]
[3.294483599696831, 4]
[2.308270344779778, 5]
[1.3652202277669487, 6]
[2.765780279779709, 7]
[2.704220009936465, 10]
[1.8983208866446648, 12]
[2.8618799559990173, 14]
[2.0532576766276973, 18]
[2.7933137633477774, 20]
[2.6315491179341413, 22]
[2.4633123843631974, 23]
[1.9382165547639878, 24]
[2.596416239879924, 25]
[2.8078878954775504, 26]
[2.214642769575864, 28]
[1.6088244361093, 30]
[2.2715071291217597, 33]
[2.243255138686372, 37]
[2.2077206236153826, 41]
[2.6604721356536993, 42]
[3.2010122354543618, 43]
[2.5617973889714176, 45]
[1.979886036943448, 46]
[2.2960813434219096, 47]
[2.9926013775639944, 48]
[2.8448933384291815, 49]
[2.5578111147767477, 50]
[1.9824612987184098, 51]
[2.2871758150784016, 52]
[2.5438099629191835, 53]
[2.6189166136950055, 55]
[2.333550711547805, 56]
[2.3971815391264237, 57]
[1.7875846618734632, 58]
[2.8196739109658746, 60]
[2.4487709838873317, 64]
[2.2804738464147296, 68]
[2.536780408654366, 71]
[2.518614322805049, 72]
[1.4954180853179075, 75]
[2.767624367151543, 79]
[2.256860232056636, 81]
[2.8698911564545226, 83]
[1.7339790694126564, 84]
[2.5578111147767477, 85]
[2.550820145200595, 87]
[2.8840783454956807, 88]
[2.430996634644108, 89]
[2.05077131952783, 91]
[2.2261318480714296, 94]
[1.6740973031780804, 95]
[2.9453439120245295, 96]
[2.2871758150784016, 97]
[2.7593162686259873, 99]
[2.4477290067963415, 100]
[2.331363301103586, 103]
[2.248933929959804, 104]
[2.1926476737780853, 106]
[2.208875821034994, 108]
[2.268135471086769, 110]
[2.5387908388375098, 112]
[2.6315491179341417, 113]
[2.7211472942188655, 115]
[3.200215194438056, 117]
[2.660472135653699, 118]
[2.409917803852333, 123]
[2.9849195362104783, 127]
[1.9682556622392053, 128]
[2.4099178038523323, 129]
[2.67195368118268, 130]
[2.3918547463102557, 131]
[1.4868641652196222, 132]
[2.2579902895838724, 134]
[1.7631574602081668, 135]
[2.2007767054016942, 136]
[1.9811740862680287, 137]
[2.3907879635447746, 138]
[2.254598417768912, 140]
[2.4633123843631974, 142]
[2.468484982137573, 143]
[2.1360725320411698, 145]
[2.732373892173355, 146]
[2.508465207826385, 147]
[2.0357894083627603, 148]
[2.4921406553030354, 151]
[2.455013559316219, 152]
[2.0569815772338726, 153]
[2.5707439058544344, 154]
[2.087755787798878, 155]
[2.2054084134926213, 156]
[2.277115465173563, 159]
[2.381165411995486, 161]
[2.1972965172205945, 163]
[2.3747287159559245, 164]
[1.9210301618009378, 169]
[2.278235475658506, 173]
[1.3947970903917404, 175]
[1.8616839384359984, 178]
[2.156279331630836, 179]
[2.2591197818334883, 181]
[2.503375220536034, 183]
[2.0420452294901876, 184]
[2.821482774325274, 188]
[2.4911168188180013, 189]
[2.2466641359339397, 190]
[1.5912867803267943, 192]
[3.198620516578913, 195]
[1.9434740997570532, 196]
[2.4183713833601037, 198]
[2.2134905818679975, 199]
[1.7861570150882418, 202]
[2.478797796352498, 206]
[2.3357360734890227, 207]
[1.5391323241100376, 209]
[2.194973326251848, 210]
[2.171604726148516, 213]
[2.5377858228284236, 216]
[2.382236503813162, 217]
[2.75005561073604, 218]
[1.99400881850187, 219]
[2.6373590967097975, 221]
[1.8159019080588563, 225]
[1.93558242695281, 226]
[2.3907879635447746, 227]
[2.3628825669944074, 230]
[2.672908250427238, 231]
[1.8794131044671407, 232]
[2.0143743002045196, 235]
[2.2647587935038516, 237]
[2.340100674813634, 238]
[2.7004439818065973, 239]
[2.252334332148189, 240]
[2.1312901489181306, 242]
[2.753763611025115, 243]
[2.60915768425836, 245]
[2.4003719407578297, 246]
[2.725830662553396, 247]
